num_nodes,num_edges,density,num_communities,min_community_size,max_community_size,avg_community_size,louvain_modularity,min_Betweenness,max_Betweenness,avg_Betweenness,min_EigenvectorCentrality,max_EigenvectorCentrality,avg_EigenvectorCentrality,min_LaplacianCentrality,max_LaplacianCentrality,avg_LaplacianCentrality,min_Sfigality,max_Sfigality,avg_Sfigality,min_DegreeCentrality,max_DegreeCentrality,avg_DegreeCentrality,min_HarmonicCloseness,max_HarmonicCloseness,avg_HarmonicCloseness,min_KatzCentrality,max_KatzCentrality,avg_KatzCentrality,min_KPathCentrality,max_KPathCentrality,avg_KPathCentrality,avg_core_decmposition,min_closeness_centrality,max_closeness_centrality,avg_closeness_centrality,ged_walk_centrality,label
47,53,0.04902867715078631,6,4,11,7.833333333333333,0.6831612673549305,0.0,1272.1999999999998,251.70212765957447,0.0024584677659248645,0.3051960346456205,0.11598581605561285,6.0,42.0,20.76595744680851,0.0,1.0,0.5567375886524822,1.0,4.0,2.25531914893617,0.1510125743821395,0.3100414078674947,0.2346425134121711,0.05473688435406523,0.2377053329536504,0.13595038857644257,2.726833199033038,17.118452860596292,8.941176470588237,1.6808510638297873,0.10747663551401869,0.24083769633507854,0.1600601913951498,5.343071428608001,0
11,11,0.2,4,2,3,2.75,0.38016528925619836,0.0,46.0,15.090909090909092,0.11978359723367013,0.5089835115906738,0.2789033738772715,8.0,36.0,17.272727272727273,0.0,1.0,0.6969696969696969,1.0,4.0,2.0,0.3816666666666667,0.6583333333333333,0.5012121212121212,0.1575954327852295,0.49312904722091805,0.28028279633528147,1.276243093922652,11.668508287292816,5.45303867403315,1.5454545454545454,0.30303030303030304,0.5263157894736842,0.4108653512055877,3.8336,1
9,8,0.2222222222222222,3,2,4,3.0,0.3671875,0.0,42.0,14.666666666666666,0.13408660986047627,0.541392936117454,0.3020231947174279,6.0,24.0,12.444444444444445,0.0,1.0,0.5,1.0,3.0,1.7777777777777777,0.3625,0.6458333333333333,0.48287037037037034,0.18046992641988222,0.5275773530012643,0.31476932959406284,1.6615384615384616,5.2615384615384615,2.8615384615384616,1.0,0.26666666666666666,0.5333333333333333,0.371944891751655,3.986328125,1
10,10,0.2222222222222222,4,2,3,2.5,0.33999999999999997,0.0,28.0,13.0,0.1403437771050225,0.4437302417817299,0.2949423690579225,8.0,26.0,16.4,0.0,1.0,0.6,1.0,3.0,2.0,0.40185185185185185,0.6203703703703703,0.5174074074074074,0.16902669071250032,0.4285804410831222,0.2981572062206946,0.547945205479452,6.575342465753424,2.9041095890410955,1.6,0.32142857142857145,0.5,0.420989010989011,4.950439453125,1
16,17,0.14166666666666666,2,8,8,8.0,0.4411764705882353,0.0,119.0,39.25,0.06600870060739439,0.4079070427467059,0.22816720833520465,6.0,28.0,17.5,0.0,1.0,0.53125,1.0,3.0,2.125,0.27431216931216934,0.49666666666666665,0.39752314814814815,0.10273363789715038,0.35228212502948125,0.23715005801820493,0.9125475285171103,8.760456273764259,5.726235741444867,1.6875,0.19736842105263158,0.38461538461538464,0.2875755737170436,6.030080795288086,0
9,9,0.25,3,2,4,3.0,0.42592592592592593,0.0,38.0,12.222222222222221,0.0725997393821971,0.5334908764605387,0.29754164962054097,6.0,26.0,16.0,0.0,1.0,0.5,1.0,3.0,2.0,0.38333333333333336,0.6666666666666667,0.5203703703703703,0.14646849091793915,0.4714150753384976,0.3128104885378185,0.8307692307692308,5.538461538461538,2.769230769230769,1.3333333333333333,0.2962962962962963,0.5714285714285714,0.412431928317123,5.102508544921875,1
11,12,0.21818181818181817,4,2,4,2.75,0.3229166666666667,0.0,39.0,15.454545454545455,0.10982764844294976,0.4552056761183573,0.28473453898769896,8.0,28.0,18.0,0.0,1.0,0.45454545454545453,1.0,3.0,2.1818181818181817,0.37666666666666665,0.6166666666666666,0.5084848484848484,0.1462272895712995,0.4192635586376539,0.28980498592493026,0.9116022099447514,9.298342541436464,5.502762430939227,1.8181818181818181,0.29411764705882354,0.5263157894736842,0.4036795243624438,5.87261962890625,1
10,11,0.24444444444444444,3,2,4,3.3333333333333335,0.268595041322314,0.0,21.0,11.6,0.12203317285974215,0.4168429816429252,0.30184252317879534,8.0,26.0,18.4,0.0,1.0,0.5,1.0,3.0,2.2,0.40185185185185185,0.6296296296296295,0.5451851851851852,0.15169120523106178,0.40470575542940834,0.30416479110110245,2.3636363636363633,9.272727272727273,5.290909090909091,1.8,0.32142857142857145,0.5294117647058824,0.4480917225189671,5.5395331382751465,1
17,16,0.11764705882352941,4,3,6,4.25,0.525390625,0.0,138.0,58.8235294117647,0.07693804066561605,0.365342299272085,0.21718265481542154,6.0,24.0,13.529411764705882,0.0,1.0,0.4117647058823529,1.0,3.0,1.8823529411764706,0.24260912698412698,0.4230654761904762,0.33298902894491134,0.12209643158934987,0.36619486539687535,0.23095801936352717,1.4623655913978495,10.602150537634408,5.344086021505376,1.0,0.16494845360824742,0.2962962962962963,0.22339155689650642,4.412788391113281,0
9,8,0.2222222222222222,3,2,4,3.0,0.3984375,0.0,38.0,14.666666666666666,0.07951427554925446,0.5431469645707739,0.30046107250222875,6.0,24.0,13.11111111111111,0.0,1.0,0.5,1.0,3.0,1.7777777777777777,0.3520833333333333,0.6354166666666667,0.48750000000000004,0.17191766574648998,0.5075965485652366,0.3135564575707914,0.8307692307692308,6.36923076923077,2.7384615384615385,1.0,0.25,0.5,0.3694279521349114,4.0732421875,1
